release	id_prefix	count
19	AC024651	0
19	AC244131	0
19	AL031767	0
19	AL732292	0
19	FP671120	0
19	FP236383	0
19	AC129926	0
19	AC026469	0
20	AC024651	0
20	AC244131	0
20	AL031767	0
20	AL732292	0
20	FP671120	21
20	FP236383	36
20	AC129926	0
20	AC026469	0
21	AC024651	0
21	AC244131	0
21	AL031767	0
21	AL732292	0
21	FP671120	21
21	FP236383	36
21	AC129926	0
21	AC026469	0
22	AC024651	3
22	AC244131	0
22	AL031767	0
22	AL732292	0
22	FP671120	21
22	FP236383	36
22	AC129926	0
22	AC026469	0
23	AC024651	3
23	AC244131	0
23	AL031767	0
23	AL732292	0
23	FP671120	21
23	FP236383	36
23	AC129926	0
23	AC026469	0
24	AC024651	3
24	AC244131	0
24	AL031767	0
24	AL732292	0
24	FP671120	21
24	FP236383	36
24	AC129926	0
24	AC026469	0
25	AC024651	0
25	AC244131	0
25	AL031767	0
25	AL732292	0
25	FP671120	0
25	FP236383	0
25	AC129926	0
25	AC026469	0
26	AC024651	0
26	AC244131	0
26	AL031767	0
26	AL732292	0
26	FP671120	0
26	FP236383	0
26	AC129926	0
26	AC026469	0
27	AC024651	9
27	AC244131	7
27	AL031767	4
27	AL732292	6
27	FP671120	18
27	FP236383	15
27	AC129926	4
27	AC026469	3
28	AC024651	21
28	AC244131	0
28	AL031767	0
28	AL732292	0
28	FP671120	0
28	FP236383	0
28	AC129926	0
28	AC026469	0
29	AC024651	9
29	AC244131	7
29	AL031767	4
29	AL732292	6
29	FP671120	18
29	FP236383	15
29	AC129926	10
29	AC026469	3
30	AC024651	9
30	AC244131	7
30	AL031767	4
30	AL732292	6
30	FP671120	33
30	FP236383	57
30	AC129926	10
30	AC026469	3
31	AC024651	13
31	AC244131	7
31	AL031767	8
31	AL732292	6
31	FP671120	33
31	FP236383	57
31	AC129926	10
31	AC026469	3
32	AC024651	13
32	AC244131	7
32	AL031767	8
32	AL732292	6
32	FP671120	39
32	FP236383	63
32	AC129926	10
32	AC026469	3
33	AC024651	13
33	AC244131	7
33	AL031767	8
33	AL732292	6
33	FP671120	42
33	FP236383	63
33	AC129926	10
33	AC026469	3
34	AC024651	13
34	AC244131	7
34	AL031767	8
34	AL732292	6
34	FP671120	42
34	FP236383	63
34	AC129926	10
34	AC026469	3
35	AC024651	13
35	AC244131	7
35	AL031767	8
35	AL732292	6
35	FP671120	39
35	FP236383	63
35	AC129926	10
35	AC026469	3
36	AC024651	13
36	AC244131	7
36	AL031767	8
36	AL732292	6
36	FP671120	39
36	FP236383	63
36	AC129926	10
36	AC026469	3
37	AC024651	13
37	AC244131	7
37	AL031767	8
37	AL732292	6
37	FP671120	39
37	FP236383	63
37	AC129926	10
37	AC026469	3
38	AC024651	0
38	AC244131	0
38	AL031767	0
38	AL732292	0
38	FP671120	0
38	FP236383	0
38	AC129926	0
38	AC026469	0
39	AC024651	0
39	AC244131	0
39	AL031767	0
39	AL732292	0
39	FP671120	0
39	FP236383	0
39	AC129926	0
39	AC026469	0
40	AC024651	0
40	AC244131	0
40	AL031767	0
40	AL732292	0
40	FP671120	0
40	FP236383	0
40	AC129926	0
40	AC026469	0
41	AC024651	0
41	AC244131	0
41	AL031767	0
41	AL732292	0
41	FP671120	0
41	FP236383	0
41	AC129926	0
41	AC026469	0
42	AC024651	0
42	AC244131	0
42	AL031767	0
42	AL732292	0
42	FP671120	0
42	FP236383	0
42	AC129926	0
42	AC026469	0
43	AC024651	0
43	AC244131	0
43	AL031767	0
43	AL732292	0
43	FP671120	0
43	FP236383	0
43	AC129926	0
43	AC026469	0
44	AC024651	0
44	AC244131	0
44	AL031767	0
44	AL732292	0
44	FP671120	0
44	FP236383	0
44	AC129926	0
44	AC026469	0
45	AC024651	0
45	AC244131	0
45	AL031767	0
45	AL732292	0
45	FP671120	0
45	FP236383	0
45	AC129926	0
45	AC026469	0
46	AC024651	0
46	AC244131	0
46	AL031767	0
46	AL732292	0
46	FP671120	0
46	FP236383	0
46	AC129926	0
46	AC026469	0
