sample,geo_sample,run,fastq
C1_L-10,GSM5808428,SRR17562518,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562518_1.fastq.gz
C1_L-10,GSM5808428,SRR17562519,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562519_1.fastq.gz
C1_L-10,GSM5808428,SRR17562520,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562520_1.fastq.gz
C1_L-10,GSM5808428,SRR17562521,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562521_1.fastq.gz
C1_R+3,GSM5808429,SRR17562514,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562514_1.fastq.gz
C1_R+3,GSM5808429,SRR17562515,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562515_1.fastq.gz
C1_R+3,GSM5808429,SRR17562516,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562516_1.fastq.gz
C1_R+3,GSM5808429,SRR17562517,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562517_1.fastq.gz
C2_L-10,GSM5808430,SRR17562510,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562510_1.fastq.gz
C2_L-10,GSM5808430,SRR17562511,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562511_1.fastq.gz
C2_L-10,GSM5808430,SRR17562512,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562512_1.fastq.gz
C2_L-10,GSM5808430,SRR17562513,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562513_1.fastq.gz
C2_R+3,GSM5808431,SRR17562506,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562506_1.fastq.gz
C2_R+3,GSM5808431,SRR17562507,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562507_1.fastq.gz
C2_R+3,GSM5808431,SRR17562508,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562508_1.fastq.gz
C2_R+3,GSM5808431,SRR17562509,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562509_1.fastq.gz
C3_L-10,GSM5808432,SRR17562502,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562502_1.fastq.gz
C3_L-10,GSM5808432,SRR17562503,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562503_1.fastq.gz
C3_L-10,GSM5808432,SRR17562504,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562504_1.fastq.gz
C3_L-10,GSM5808432,SRR17562505,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562505_1.fastq.gz
C3_R+3,GSM5808433,SRR17562498,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562498_1.fastq.gz
C3_R+3,GSM5808433,SRR17562499,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562499_1.fastq.gz
C3_R+3,GSM5808433,SRR17562500,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562500_1.fastq.gz
C3_R+3,GSM5808433,SRR17562501,/lustre/hdd/LAS/potoyan-lab/tuqa/project/data/SRR17562501_1.fastq.gz
