ID,C1_L-10_GEO,C1_R+3_GEO,C2_L-10_GEO,C2_R+3_GEO,C3_L-10_GEO,C3_R+3_GEO,C1_L-10_RAW,C1_R+3_RAW,C2_L-10_RAW,C2_R+3_RAW,C3_L-10_RAW,C3_R+3_RAW,GEO_DE_logFC,GEO_DE_logCPM,GEO_DE_PValue,GEO_DE_FDR,RAW_DE_logFC,RAW_DE_logCPM,RAW_DE_PValue,RAW_DE_FDR,GEO_mean_pre,GEO_mean_post,GEO_simple_log2FC_mean_post_over_pre,GEO_C1_paired_log2FC,GEO_C2_paired_log2FC,GEO_C3_paired_log2FC,GEO_mean_paired_log2FC,RAW_mean_pre,RAW_mean_post,RAW_simple_log2FC_mean_post_over_pre,RAW_C1_paired_log2FC,RAW_C2_paired_log2FC,RAW_C3_paired_log2FC,RAW_mean_paired_log2FC,GEO_paper_like_sig,RAW_paper_like_sig
LINC02049,0,2,0,1,0,1,0.0,0.25,0.0,3.07,0.56,0.53,3.55744429653112,4.01485659647432,0.0174764732043019,0.290876151924789,1.68909257439483,3.34684136922313,0.226806046082451,0.972980731167139,0.0,1.3333333333333333,1.874469117916141,2.321928094887362,1.584962500721156,1.584962500721156,1.8306176987765579,0.18666666666666668,1.2833333333333332,1.3768945541052908,0.5849625007211562,2.835924074254375,-0.04141992737998079,1.1264888825318502,False,False
AL031767.1,0,2,0,1,1,1,0.0,0.0,0.0,5.25,0.53,1.0,1.70642925605144,4.1024478465946,0.155659999940361,0.567538986779439,2.15723489911154,3.53730784022159,0.0994013732411307,0.936628579849929,0.3333333333333333,1.3333333333333333,1.1375035237499351,2.321928094887362,1.584962500721156,0.0,1.3022968652028395,0.17666666666666667,2.0833333333333335,1.932716582976424,0.0,3.523561956057013,0.5423181633126625,1.3552933731232253,False,False
AC244131.2,0,2,0,1,0,1,4.73,1.96,0.15,0.63,9.69,3.25,3.55744429653112,4.01485659647432,0.0174764732043019,0.290876151924789,-1.31962301202386,4.29351340414935,0.0970098406842356,0.936628579849929,0.0,1.3333333333333333,1.874469117916141,2.321928094887362,1.584962500721156,1.584962500721156,1.8306176987765579,4.8566666666666665,1.9466666666666665,-1.1305179608318812,-1.0881526309077016,0.797811149386733,-1.4421915507825704,-0.5775110107678464,False,False
LINC01954,0,1,0,1,0,1,0.0,0.0,0.0,0.0,1.27,2.04,3.19672643125081,3.92174536522717,0.0384751222650731,0.35117374863784,0.880233594292567,3.104166795306,0.521569517498876,1.0,0.0,1.0,1.584962500721156,1.584962500721156,1.584962500721156,1.584962500721156,1.584962500721156,0.42333333333333334,0.68,0.3538633840338093,0.0,0.0,0.5210791366891685,0.17369304556305618,False,False
AL732292.2,1,3,2,10,2,7,1.33,0.17,1.24,1.75,9.6,12.56,1.96612172516563,5.2267421054829,0.0014796766848938,0.0759339283727622,0.232421132814515,4.37152292279277,0.766675355429523,1.0,1.6666666666666667,6.666666666666667,1.7258250365610057,1.222392421336448,2.070389327891398,1.584962500721156,1.6259147499830007,4.056666666666667,4.826666666666667,0.2252541653219168,-1.44961064782627,0.3708376953683088,0.37079960390727373,-0.2359911161835625,False,False
AC129926.1,2,0,2,0,2,0,0.47,0.0,1.27,1.0,9.34,7.86,-4.06033592773481,4.1838123101005,0.0044887506165619,0.15038161499561,-0.102911996222443,4.04709270314632,0.916845444404765,1.0,2.0,0.0,-2.321928094887362,-2.321928094887362,-2.321928094887362,-2.321928094887362,-2.321928094887362,3.6933333333333334,2.953333333333333,-0.28010791919273537,-0.9560566524124028,-0.23878685958711662,-0.23515537325835728,-0.47666629508595887,False,False
AC024651.2,7,0,3,1,3,0,2.78,5.52,2.69,2.25,25.06,30.93,-3.25357629346779,4.71222627787436,0.0005618665053455,0.0399060066756604,0.253709263530116,5.40245101126686,0.66797475290236,1.0,4.333333333333333,0.3333333333333333,-2.53605290024021,-3.9068905956085187,-1.222392421336448,-2.807354922057604,-2.645545979667524,10.176666666666666,12.9,0.3277717032916075,0.8760676721416184,-0.21412480535284734,0.2982544358517568,0.3200657675468426,True,False
LINC02022,6,2,3,0,3,1,6.78,2.78,1.93,2.25,27.16,20.86,-1.81914057090767,4.76718911517253,0.019951933068119,0.290876151924789,-0.678755966603472,5.3058705027867,0.252589123066252,0.974682478269676,4.0,1.0,-1.5849625007211563,-1.3785116232537298,-2.807354922057604,-1.222392421336448,-1.8027529888825942,11.956666666666669,8.63,-0.4482312976753665,-1.1502426355806128,0.17847530480624113,-0.37288950946294036,-0.4482189467457707,False,False
AC026469.1,2,2,4,0,4,0,4.26,2.78,3.96,4.03,14.72,16.32,-2.12945120000332,4.59929703785143,0.0159495369166982,0.290876151924789,-0.161562457564467,5.04504942133559,0.789855989048207,1.0,3.3333333333333335,0.6666666666666666,-1.7162070339994089,0.0,-3.1699250014423126,-3.1699250014423126,-2.113283334294875,7.646666666666666,7.710000000000001,0.01117234268023183,-0.5372657586898598,0.022467340125930577,0.14420934675159877,-0.12352969060411016,False,False
LINC00324,439,188,329,83,537,116,495.14,197.31,1958.63,496.06,911.19,692.37,-1.76638473899213,10.7371458169084,7.50166998893442e-07,0.0003171420293417,-1.51043064468397,11.849280349773,0.0201409613148166,0.78574371329881,435.0,129.0,-1.7497206209123106,-1.2212986418747398,-1.9804303625339996,-2.2059347998225425,-1.8025546014104272,1121.6533333333334,461.91333333333336,-1.2790149196715346,-1.3251772617444404,-1.980173176087299,-0.39595865972298644,-1.2337696991849085,False,False
