ID,C1_L-10_raw,C1_R+3_raw,C2_L-10_raw,C2_R+3_raw,C3_L-10_raw,C3_R+3_raw,C1_L-10_GEO,C1_R+3_GEO,C2_L-10_GEO,C2_R+3_GEO,C3_L-10_GEO,C3_R+3_GEO,total_raw,total_GEO,ratio_raw_over_GEO_total
AC024651.2,0,0,0,0,2,2,7,0,3,1,3,0,4,14,0.3103448275862069
AC026469.1,2,1,2,1,4,5,2,2,4,0,4,0,15,12,1.24
AC129926.1,0,0,0,0,4,3,2,0,2,0,2,0,7,6,1.1538461538461537
AC244131.2,1,0,0,0,0,0,0,2,0,1,0,1,1,4,0.3333333333333333
AL031767.1,0,0,0,5,0,1,0,2,0,1,1,1,6,5,1.1818181818181819
AL732292.2,0,0,0,0,2,5,1,3,2,10,2,7,7,25,0.29411764705882354
LINC00324,115,80,917,319,234,327,439,188,329,83,537,116,1992,1692,1.1772525849335302
LINC01954,0,0,0,0,0,1,0,1,0,1,0,1,1,3,0.42857142857142855
LINC02022,0,0,1,1,3,3,6,2,3,0,3,1,8,15,0.5483870967741935
LINC02049,0,0,0,3,0,0,0,2,0,1,0,1,3,4,0.7777777777777778
