ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
A1BG-AS1,lncRNA,4.5,2.33,0.33,3.0,7.5,9.17
A2M-AS1,lncRNA,0.0,0.0,1.0,0.0,9.0,8.0
A2ML1-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,2.0
AA06,lncRNA,1.0,0.0,0.0,1.0,1.0,0.0
AATBC,lncRNA,0.0,2.0,6.0,6.0,19.0,26.0
ABALON,lncRNA,3.0,3.5,4.5,2.0,9.5,4.5
ABCA9-AS1,lncRNA,1.5,7.0,0.5,4.0,5.0,5.5
ABCC5-AS1,lncRNA,0.0,0.0,0.0,1.0,1.0,2.0
ABHD15-AS1,lncRNA,1.0,0.0,1.0,0.0,0.0,1.5
AC000032.1,lncRNA,0.0,0.0,0.0,0.0,2.5,1.0
AC000035.1,lncRNA,0.5,0.5,0.5,0.5,1.0,0.0
AC000036.1,lncRNA,0.0,0.0,1.0,0.0,4.0,4.0
AC000050.1,lncRNA,0.0,0.0,3.0,0.0,1.0,1.0
AC000058.1,lncRNA,0.0,2.0,0.0,1.0,2.0,0.0
AC000065.1,lncRNA,1.0,0.0,1.0,0.0,5.0,6.0
AC000065.2,lncRNA,0.0,0.0,0.0,1.0,1.0,0.0
AC000067.1,lncRNA,2.0,0.0,0.0,1.0,0.0,1.0
AC000068.1,lncRNA,1.0,3.0,3.0,7.0,8.5,9.0
AC000068.2,lncRNA,0.0,0.0,0.0,0.0,3.0,0.0
AC000072.1,lncRNA,0.0,0.0,0.0,0.5,2.0,0.5
AC000082.1,lncRNA,1.0,0.0,0.0,0.0,0.0,0.5
AC000085.1,lncRNA,0.0,0.0,0.0,0.0,1.0,1.0
AC000113.1,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
AC000120.1,lncRNA,1.0,11.0,1.0,20.5,4.0,19.0
AC000123.1,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
