"ID","logFC","logCPM","LR","PValue","FDR"
"AC090286.1",-4.87970232148618,9.26155043969875,36.5589508332292,1.48118255553927e-09,2.36337488561845e-05
"AC104078.1",-3.51840720566448,7.62949819303468,30.594126250007,3.18055175629036e-08,0.00020925523498682
"AC011676.4",-3.44782421170609,6.68982367916409,30.1815448943722,3.93435513261757e-08,0.00020925523498682
"AC004231.1",-3.15656840812499,6.19895200087572,26.1954311394926,3.08551692929467e-07,0.00123081270309564
"AC007161.3",-3.46293315566753,6.9531165336127,24.7097595375029,6.66458354801709e-07,0.00212680190184321
"DLX2-DT",-3.2488646737353,11.4360406053986,23.4263953885586,1.29785456347883e-06,0.00302460893607478
"AC099791.2",3.41439021608674,7.49078624416744,23.3837966507594,1.32691542695685e-06,0.00302460893607478
"AC020656.1",3.51159566936532,10.2958654862279,22.0912540062302,2.5999159326255e-06,0.00518553232762156
"LINC01591",4.41483707887978,5.40187865980095,21.1948773770984,4.14871890140356e-06,0.00735521764342169
"AC010624.1",-2.77064902698353,6.32062188948331,20.5824802254198,5.71164311173158e-06,0.0091134977490789
"AC009230.1",-5.89086111819888,4.25444578203482,20.2184435682289,6.90836597609566e-06,0.00932175768545533
"AL355574.1",-2.67806415879195,6.34112298810384,20.1360389603462,7.21247715822818e-06,0.00932175768545533
"C9orf139",-3.09696178557377,7.97852148144666,19.9532000640443,7.93610183100237e-06,0.00932175768545533
"FBXL19-AS1",-3.4919418166717,10.1631915092258,19.8955542716837,8.17903030812074e-06,0.00932175768545533
"AL158801.2",-2.60029854729001,7.05268044244524,19.6924013229103,9.09623437718618e-06,0.00967596771482552
"AL109914.1",4.86210509622802,3.87204455259851,19.1156958829556,1.23028931543886e-05,0.012269060198214
"AL133304.1",3.32596706717229,4.10303846135884,18.8689236481807,1.40015144031265e-05,0.0131416566950757
"AC110285.3",2.62140940662142,7.33339773783554,18.3840098169445,1.8056693951734e-05,0.0160062560385482
"AC022405.1",3.48948428738766,4.90524586521225,17.7049008530473,2.57961134154379e-05,0.02073490310933
"AL031686.1",-2.47716416110072,7.58888044460926,17.6766831409699,2.61816411239312e-05,0.02073490310933
"ASH1L-IT1",4.116729374025,4.48679602115562,17.574013427125,2.76338910735515e-05,0.02073490310933
"AL590644.1",2.76899893680978,6.06143127369591,17.5093972468221,2.85891118328691e-05,0.02073490310933
"AC022523.1",5.43773946567028,4.22245525789438,17.2488699837374,3.27892507832386e-05,0.022498489223803
"AC064843.1",2.42025635478535,6.85212478867551,17.1888997930667,3.38407960247727e-05,0.022498489223803
"AC037459.3",-2.58397445043498,5.47935299506187,16.9016469487721,3.93674108311466e-05,0.0238110183241777
"C9orf135-DT",-2.6102966589997,7.81011823363886,16.8867982706424,3.96765799093981e-05,0.0238110183241777
"LINC02338",-2.38556874972322,6.13533315430391,16.857589046442,4.02918961364251e-05,0.0238110183241777
"AP000759.1",-2.67367823618886,5.53362076573162,16.598625207927,4.61844876550209e-05,0.0263185601794112
"AL031722.1",5.36768066749184,4.18135228719774,16.3993240255183,5.13035224985689e-05,0.0282275518961091
"AC099487.1",5.36315642430281,4.14734447156347,16.2954650174198,5.41934946772931e-05,0.0288237133690296
"AC012511.2",-3.09056439140554,11.342810393779,16.22748770269,5.61731203248633e-05,0.028912848642049
"ELAVL4-AS1",2.42001946163496,7.84400928684985,15.9508433663625,6.50088087085408e-05,0.0324150172422961
"LINC02375",-3.9607308417859,4.76431332516443,15.4984702921157,8.25720494073012e-05,0.0399248369800878
"AC068025.2",5.29105197249382,4.16188364842711,15.4399558859015,8.51683770750419e-05,0.0399690183708638
"AC091231.1",5.31160090684291,4.01431485948144,14.8919332481921,0.000113848784443186,0.0519020344164421
"AL160286.2",2.31191577204858,7.32867386153032,14.7747903748248,0.000121144264008503,0.0524717294343796
"AC048382.6",2.48040759729818,5.48369518010799,14.7665400415588,0.000121675481892206,0.0524717294343796
"AP001363.1",3.8169653070953,4.48333188024206,14.7103890052163,0.000125353731613033,0.0526353721478303
"AC018445.5",2.25260447313782,6.90793776865758,14.4999630945919,0.000140162288533672,0.0573443455344428
"LINC01833",-2.24883466298762,6.92076640419312,14.0177661140357,0.000181091489578192,0.0722373951927406
"AL157944.1",2.23621917268448,6.34222447680083,13.6118284847116,0.000224764868621445,0.0845303247731582
"AL672310.1",3.18802140057872,4.57781198968511,13.5853445245581,0.000227958275514238,0.0845303247731582
"AC006130.1",2.53806425224671,5.21894472969432,13.5670688610332,0.000230188558293185,0.0845303247731582
"AL158800.1",-2.28789745337378,6.54525581489623,13.5434829312688,0.00023309941652162,0.0845303247731582
"LINC01752",4.99148910571678,3.94100069876951,13.3573075458476,0.000257417609169391,0.0888560621596622
"AC008440.1",2.76932688485342,5.07776378847915,13.3280597974417,0.000261463912887222,0.0888560621596622
"AL662844.3",2.36955709780296,5.42599092422256,13.3261205686536,0.000261734452337937,0.0888560621596622
"AL160262.1",5.27554141745641,3.88878130400255,13.074479866168,0.000299346331591167,0.0980247140031223
"AC019330.1",-2.21750809278519,5.61251121011141,13.0639835875762,0.000301028515050952,0.0980247140031223
"LINC02109",-2.13721574993669,8.97780331850564,12.748005517502,0.000356388995114811,0.113196192850462
"LINC01365",-3.67400805606438,4.27378315550604,12.7197825490992,0.000361807836260565,0.113196192850462
"AL162419.1",-2.66059667542402,4.96843669304781,12.6829151559763,0.000369011807085086,0.113229853727877
"AC092868.2",4.98554527095595,3.97334112295211,12.5722713647481,0.0003915124526807,0.117229802273131
"AC009054.2",4.96683064063768,3.95756796274989,12.5474769400669,0.000396741622132681,0.117229802273131
"AC019193.3",4.94846056604512,3.93995100825143,12.4542848321805,0.000417034022700634,0.120985361203842
"AC116348.2",-2.47419833213395,4.90026955016199,12.3255101823907,0.000446809800783049,0.127308878237399
"ZNF436-AS1",-2.28999443725765,11.5975569633179,12.246294530941,0.000466182998369845,0.13049852494718
"AC097709.1",-2.18380237656814,5.34591153539552,12.1488367441229,0.000491184908103826,0.135126661960425
"AC078845.1",2.47510107851423,5.59402957690761,11.8997094507388,0.000561427007939837,0.15183270065573
"C1orf229",1.99569936397669,7.03926057871809,11.7999727725085,0.000592315873284178,0.155004967516051
"AP003969.1",-2.55520374790522,5.38442955863501,11.7991237672858,0.000592586050293249,0.155004967516051
"AC109458.2",4.85269715490528,3.89358636456461,11.6278083919261,0.000649730649234962,0.15895167765365
"AC018878.1",4.06135891544089,3.52079213069891,11.5920875208395,0.000662330218527092,0.15895167765365
"LINC02711",4.06135891544089,3.52079213069891,11.5920875208395,0.000662330218527092,0.15895167765365
"AC004069.1",4.84334562057129,3.85951344838923,11.5910520953046,0.000662699094538271,0.15895167765365
"AC013287.1",-2.11863591048678,7.67674807663228,11.5669324636976,0.000671350810892926,0.15895167765365
"AL356130.1",-2.57128102498022,4.95293906596826,11.5537166266061,0.00067613962627117,0.15895167765365
"AC104836.1",4.846062154645,3.89197879610547,11.5502334641901,0.000677407500654813,0.15895167765365
"AP001469.3",4.82828434221442,3.86985443263746,11.5122478180177,0.000691391206627512,0.159881711492008
"AC134682.1",-2.12111706765875,9.05267593683701,11.4731563356821,0.000706086587842719,0.16094739422312
"AC108752.1",-2.1769353744215,8.46100696805717,11.3961066922528,0.000735981900349133,0.165168892755875
"AC079209.1",2.70342007122429,4.73035237205088,11.3445433758587,0.000756699726331386,0.165168892755875
"DENND5B-AS1",-2.13218279669977,8.24436624213804,11.335832645238,0.000760257385957361,0.165168892755875
"AL157829.1",2.49723716063156,4.88797402867538,11.3218280052143,0.000766012663821432,0.165168892755875
"AC009720.1",2.13693098954328,5.56645309096998,11.1892921000227,0.000822707266094886,0.172921531842648
"AP001437.2",2.25677623362195,5.01798067216833,11.1871844924853,0.00082364229255711,0.172921531842648
"LINC02585",2.37130781183515,4.81904620549326,11.0364988199421,0.000893354196711802,0.185121552762773
"AL133245.1",3.55240351812895,4.13754648937645,11.0069898911249,0.000907689329424853,0.185680653080807
"PRMT5-AS1",-1.97486150285958,6.09159667537824,10.8994577255915,0.00096192416352742,0.19428432852207
"AC109495.1",3.57966615988488,4.10697447383378,10.8546063482453,0.000985503096850057,0.196558592666744
"AC009971.1",-2.34251827562642,4.91795986557886,10.7153425468935,0.00106250785714132,0.209300930475888
"AL139099.2",4.7324883758384,3.83719980797792,10.6453991030808,0.00110345067338477,0.214715352982041
"TBC1D3P1-DHX40P1",-1.84463920803399,6.49816372348036,10.5378672825547,0.00116953298986871,0.224832149233074
"AC005343.1",2.1963568414163,4.90510442049166,10.2338903889118,0.00137883534459208,0.261913056646561
"AC124068.2",-2.13535417434288,14.1096347135119,10.1900822672112,0.00141198015680306,0.264389760575186
"VCAN-AS1",1.89550905983917,6.83992827517046,10.1731400766146,0.00142501375090662,0.264389760575186
"AC092059.1",4.65046400758119,3.76912811975563,10.1053370959401,0.00147840548211192,0.271142964052618
"AC009951.6",1.98711183669776,5.48127767540514,10.0278520298224,0.00154190741008732,0.277504848983946
"AC084026.2",1.81651948528666,5.95487211527502,10.0207343791166,0.00154787738528273,0.277504848983946
"AC091212.1",-2.69357405673118,4.37196719222558,9.97611278029679,0.00158584124960726,0.281152033097038
"AC020663.3",-1.86941728024797,5.44817759379815,9.84605069269522,0.00170196752768816,0.285901560069757
"AC079763.1",-4.62390441747331,3.79553787380696,9.81019345983192,0.00173547249160435,0.285901560069757
"LINC02728",-1.88453803129063,6.94426209923392,9.7953628623841,0.00174952484694184,0.285901560069757
"BX470102.2",1.84131692646206,5.7209750384022,9.79086840847495,0.0017538061761916,0.285901560069757
"AC007448.5",2.58572217212408,4.55703702420018,9.78434835477169,0.00176003593207122,0.285901560069757
"AC021192.1",4.29179989103628,3.61213651181264,9.76992788523593,0.0017738941117389,0.285901560069757
"AC073896.3",4.29179989103628,3.61213651181264,9.76992788523593,0.0017738941117389,0.285901560069757
"AL391869.1",4.29179989103628,3.61213651181264,9.76992788523593,0.0017738941117389,0.285901560069757
"AP003392.1",4.29179989103628,3.61213651181264,9.76992788523593,0.0017738941117389,0.285901560069757
"AC241644.2",2.82414879569745,4.37646084161689,9.67800138664866,0.00186487377208787,0.297559259074341
"CYYR1-AS1",-2.88586208998154,4.33112567085208,9.64694202251767,0.00189667067675612,0.297794052682618
"AC138512.1",-2.70373415814805,4.32019445152367,9.64017384272537,0.00190367218435868,0.297794052682618
"AL023693.1",4.56500538741087,3.72874763553248,9.56613697154212,0.00198199408385483,0.301996005073742
"AC021860.1",4.5654437497629,3.74592303062893,9.5555627787354,0.00199344387323853,0.301996005073742
"LINC02624",2.04525490462315,5.04268090824045,9.54000159714706,0.00201041568423469,0.301996005073742
"AC092435.3",2.39490970831136,4.66079354384354,9.53323449509227,0.00201784186571412,0.301996005073742
"AC008946.1",4.55734698630476,3.73988660559601,9.5235581443135,0.00202850898908809,0.301996005073742
"AC013265.1",4.55533386080429,3.71972163352929,9.5095127812536,0.00204409429355503,0.301996005073742
"DAB1-AS1",-1.91139643754284,5.21237124385911,9.47508438663582,0.00208281304689053,0.304832318427071
"AC093772.1",-1.8306965635143,6.27408569393911,9.44695911137051,0.00211499463800736,0.304832318427071
"AL353730.1",2.37136284962344,4.61855065803375,9.44209960579739,0.00212060587524472,0.304832318427071
"AC110809.1",2.16965407603408,4.85293986503504,9.29747723980877,0.00229469633674565,0.323787036411517
"ELMO1-AS1",2.19692207689153,4.94850302247445,9.29246140988445,0.00230098780610918,0.323787036411517
