ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
A1BG-AS1,lncRNA,2.52,2.21,1.79,1.09,9.58,7.32
A2M-AS1,lncRNA,1.47,0.17,2.02,0.33,7.87,9.3
A2ML1-AS1,lncRNA,0.26,0.21,1.0,0.0,0.12,0.33
A2ML1-AS2,lncRNA,1.43,0.59,0.18,1.49,0.0,0.12
AA06,lncRNA,2.2,1.1,0.35,2.17,3.97,1.38
AADACL2-AS1,lncRNA,0.0,0.12,1.16,0.65,0.7,1.49
AATBC,lncRNA,5.05,5.24,6.5,6.46,20.12,17.52
ABALON,lncRNA,3.9,4.05,5.18,3.55,11.38,9.29
ABCA9-AS1,lncRNA,8.17,8.25,10.81,6.84,14.99,9.81
ABCC5-AS1,lncRNA,0.0,0.0,0.2,1.0,1.44,0.31
ABHD15-AS1,lncRNA,0.17,0.96,2.0,1.0,0.0,0.5
AC000032.1,lncRNA,0.25,0.25,0.08,0.17,0.2,0.45
AC000035.1,lncRNA,0.27,0.16,0.83,0.6,3.35,0.98
AC000036.1,lncRNA,0.0,0.58,0.26,0.48,5.37,3.4
AC000050.1,lncRNA,0.41,0.14,2.75,0.39,2.93,0.6
AC000058.1,lncRNA,0.5,3.14,0.0,0.0,6.6,0.93
AC000061.1,lncRNA,0.14,0.2,0.0,2.0,0.5,0.75
AC000065.1,lncRNA,1.58,1.46,0.81,3.29,9.73,12.49
AC000065.2,lncRNA,0.0,0.68,1.2,0.0,3.42,1.92
AC000067.1,lncRNA,1.5,0.0,1.35,0.4,1.85,2.56
AC000068.1,lncRNA,1.75,4.17,6.06,15.91,9.26,8.96
AC000068.2,lncRNA,0.0,0.33,0.0,0.12,2.08,2.22
AC000068.3,lncRNA,0.0,0.0,0.0,0.0,0.05,0.12
AC000072.1,lncRNA,0.05,0.12,0.06,0.5,0.49,2.27
AC000082.1,lncRNA,0.2,0.0,0.2,0.0,0.5,0.37
AC000085.1,lncRNA,1.12,0.0,1.83,0.0,3.23,2.04
AC000113.1,lncRNA,0.0,0.0,0.0,0.09,0.24,0.45
AC000120.1,lncRNA,1.5,5.22,0.0,4.97,2.41,8.2
AC000123.1,lncRNA,0.0,0.0,0.0,0.0,0.09,0.25
AC000124.1,lncRNA,0.92,0.94,9.52,4.92,11.14,8.49
AC000372.1,lncRNA,0.0,1.5,0.0,0.0,0.53,0.25
AC000403.1,lncRNA,0.31,5.36,1.01,0.29,2.51,6.16
AC001226.1,lncRNA,0.25,0.75,0.0,0.0,0.0,0.22
AC002044.1,lncRNA,0.0,6.25,3.0,2.08,4.34,3.0
AC002056.2,lncRNA,0.06,0.1,0.0,0.03,0.33,0.25
AC002057.1,lncRNA,0.0,0.58,0.11,0.0,1.84,2.11
AC002057.2,lncRNA,0.0,0.27,1.0,0.0,3.29,2.89
AC002059.1,lncRNA,0.0,1.35,1.92,1.25,4.27,6.28
AC002064.1,lncRNA,0.11,0.0,0.0,0.0,3.86,0.5
AC002064.2,lncRNA,0.0,0.0,0.0,0.0,0.17,0.07
AC002066.1,lncRNA,0.2,0.25,1.22,0.5,3.4,1.38
AC002069.2,lncRNA,1.83,1.0,1.73,0.63,4.88,9.78
AC002070.1,lncRNA,0.95,0.06,0.45,0.46,14.48,12.39
AC002072.1,lncRNA,0.1,0.17,0.6,0.0,0.8,0.38
AC002074.1,lncRNA,3.36,4.89,0.08,1.67,5.73,4.73
AC002074.2,lncRNA,0.0,0.67,0.64,0.0,1.35,0.85
AC002091.1,lncRNA,0.0,0.33,0.11,0.0,0.33,0.0
AC002091.2,lncRNA,0.0,0.0,0.06,0.0,7.82,7.37
AC002094.1,lncRNA,0.75,2.74,6.36,1.59,15.35,16.37
AC002094.2,lncRNA,0.0,2.0,0.81,0.06,2.8,1.96
AC002094.4,lncRNA,0.0,0.0,0.0,0.0,0.58,0.0
AC002101.1,lncRNA,3.9,3.7,2.02,2.28,16.8,5.89
AC002115.1,lncRNA,0.0,0.0,1.0,0.5,1.17,1.45
AC002116.1,lncRNA,3.99,0.64,0.79,0.57,8.96,6.99
AC002116.2,lncRNA,0.5,0.5,2.24,1.17,5.24,2.69
AC002128.1,lncRNA,0.0,0.0,0.18,0.83,6.46,1.77
AC002128.2,lncRNA,0.2,0.6,0.0,0.0,7.86,6.2
AC002306.1,lncRNA,1.69,0.46,0.0,2.89,0.74,2.83
AC002310.1,lncRNA,3.56,2.41,10.97,6.17,35.11,18.19
AC002310.2,lncRNA,2.54,3.28,3.68,4.03,9.02,12.22
AC002331.1,lncRNA,1.67,1.14,2.48,0.0,0.62,3.02
AC002347.1,lncRNA,0.25,0.1,0.14,1.14,1.92,0.71
AC002351.1,lncRNA,0.42,2.08,1.58,2.46,4.5,1.85
AC002368.1,lncRNA,0.5,0.0,0.05,0.0,0.7,0.25
AC002375.1,lncRNA,0.0,6.0,1.2,0.06,2.67,4.47
AC002377.1,lncRNA,1.9,1.0,0.33,1.33,17.64,12.3
AC002378.1,lncRNA,0.74,2.08,0.59,0.0,1.53,3.54
AC002383.1,lncRNA,0.1,0.65,0.56,0.0,1.04,1.67
AC002386.1,lncRNA,0.0,0.0,0.0,0.11,0.29,0.7
AC002398.1,lncRNA,0.08,0.51,0.68,3.64,5.29,2.89
AC002398.2,lncRNA,0.08,0.41,1.65,0.66,1.08,3.82
AC002401.1,lncRNA,0.25,0.3,1.54,0.38,1.82,1.31
AC002401.2,lncRNA,1.12,0.67,1.75,0.33,2.4,4.32
AC002401.3,lncRNA,0.07,0.0,0.0,0.25,1.39,2.41
AC002401.4,lncRNA,0.0,0.0,0.0,0.0,5.63,4.12
AC002407.1,lncRNA,1552.0,726.43,2742.85,1236.86,6149.1,7271.52
AC002428.1,lncRNA,0.0,1.0,0.25,0.0,2.09,1.55
AC002428.2,lncRNA,0.2,0.25,0.0,0.0,0.39,2.28
AC002451.1,lncRNA,8.86,13.45,17.86,18.92,123.24,103.84
AC002456.1,lncRNA,5.55,8.53,1.55,5.44,7.49,13.06
AC002458.1,lncRNA,0.5,0.1,1.2,1.25,3.65,3.34
AC002460.1,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
AC002460.2,lncRNA,0.94,0.53,3.59,3.87,13.78,8.84
AC002463.1,lncRNA,3.89,10.73,1.67,9.2,15.79,14.99
AC002464.1,lncRNA,0.25,0.0,0.33,0.39,0.61,2.22
AC002465.1,lncRNA,0.0,3.1,0.0,0.0,0.4,1.32
AC002467.1,lncRNA,7.52,10.51,8.4,3.73,65.74,62.58
AC002470.1,lncRNA,0.74,1.83,1.51,0.53,0.83,1.15
AC002470.2,lncRNA,4.68,10.65,11.64,5.85,25.55,24.03
AC002472.1,lncRNA,0.32,0.12,0.97,1.17,6.46,2.88
AC002480.1,lncRNA,1.5,0.06,1.56,1.02,4.92,4.09
AC002480.2,lncRNA,4.3,9.53,10.54,9.5,122.8,138.23
AC002511.1,lncRNA,0.0,0.39,4.01,1.5,4.51,3.86
AC002511.2,lncRNA,0.0,1.37,1.2,1.07,3.17,9.35
AC002519.1,lncRNA,0.06,1.5,0.08,0.5,1.24,0.95
AC002529.1,lncRNA,3.25,3.05,1.55,3.15,8.7,8.89
AC002542.6,lncRNA,1.03,1.35,0.25,3.75,7.3,6.04
AC002546.1,lncRNA,1.0,1.22,0.0,0.12,2.8,1.71
AC002550.1,lncRNA,0.5,2.15,1.94,0.66,3.67,2.7
AC002550.2,lncRNA,0.0,0.0,0.0,0.0,0.25,0.0
AC002551.1,lncRNA,1.13,2.9,0.0,0.53,1.17,0.87
AC002553.1,lncRNA,0.56,0.0,0.17,5.0,1.1,3.22
AC002553.2,lncRNA,0.07,0.14,0.0,0.0,0.52,0.11
AC002558.2,lncRNA,1.5,1.0,1.0,7.22,0.15,2.07
AC002558.3,lncRNA,1.17,13.69,1.23,3.19,6.44,5.2
AC002563.1,lncRNA,0.17,0.0,0.0,0.0,0.83,2.51
AC003001.1,lncRNA,2.47,2.86,2.88,3.93,66.78,49.62
AC003005.2,lncRNA,0.75,4.0,1.5,4.0,1.09,0.58
AC003009.1,lncRNA,0.0,0.25,0.0,0.5,2.29,0.76
AC003035.1,lncRNA,0.43,0.0,0.0,0.17,1.32,0.0
AC003035.2,lncRNA,0.12,0.0,0.22,1.0,0.95,1.35
AC003043.1,lncRNA,3.25,0.0,0.5,0.2,0.48,0.79
AC003043.2,lncRNA,0.67,0.99,3.12,4.9,11.09,11.08
AC003044.1,lncRNA,0.0,0.0,0.0,2.29,1.86,4.33
AC003070.1,lncRNA,1.7,1.2,9.09,2.31,9.11,8.25
AC003070.2,lncRNA,0.37,0.5,0.42,0.46,2.34,2.19
AC003077.1,lncRNA,2.17,1.9,1.58,2.82,5.05,8.23
AC003084.1,lncRNA,0.0,0.11,0.0,0.0,0.28,1.33
AC003086.1,lncRNA,1.05,0.14,1.45,0.0,2.41,2.42
AC003087.1,lncRNA,0.0,0.0,0.0,0.0,1.23,0.75
AC003092.1,lncRNA,0.83,0.0,1.83,0.0,44.24,34.22
AC003092.2,lncRNA,0.0,0.0,0.0,0.0,0.12,1.17
AC003093.1,lncRNA,4.57,1.94,3.45,7.26,5.57,5.81
AC003098.1,lncRNA,0.12,0.62,0.0,0.29,0.68,1.61
AC003101.1,lncRNA,0.05,0.25,0.0,2.0,1.95,3.75
AC003101.2,lncRNA,0.08,1.63,0.14,0.78,5.39,3.39
AC003102.1,lncRNA,14.92,10.85,6.09,10.78,37.69,36.49
AC003659.1,lncRNA,0.0,0.75,0.17,0.0,0.5,0.06
AC003666.1,lncRNA,1.42,0.83,0.09,4.14,2.84,1.09
AC003681.1,lncRNA,43.51,63.23,52.01,77.08,169.99,201.51
AC003682.1,lncRNA,0.0,0.67,0.5,0.5,0.11,0.84
