ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
A1BG-AS1,lncRNA,3,2,2,1,10,7
A2M-AS1,lncRNA,1,0,2,0,8,9
A2ML1-AS1,lncRNA,0,0,1,0,0,0
A2ML1-AS2,lncRNA,1,1,0,1,0,0
AA06,lncRNA,2,1,0,2,4,1
AADACL2-AS1,lncRNA,0,0,1,1,1,1
AATBC,lncRNA,5,5,6,6,20,18
ABALON,lncRNA,4,4,5,4,11,9
ABCA9-AS1,lncRNA,8,8,11,7,15,10
ABCC5-AS1,lncRNA,0,0,0,1,1,0
ABHD15-AS1,lncRNA,0,1,2,1,0,0
AC000035.1,lncRNA,0,0,1,1,3,1
AC000036.1,lncRNA,0,1,0,0,5,3
AC000050.1,lncRNA,0,0,3,0,3,1
AC000058.1,lncRNA,0,3,0,0,7,1
AC000061.1,lncRNA,0,0,0,2,0,1
AC000065.1,lncRNA,2,1,1,3,10,12
AC000065.2,lncRNA,0,1,1,0,3,2
AC000067.1,lncRNA,2,0,1,0,2,3
AC000068.1,lncRNA,2,4,6,16,9,9
AC000068.2,lncRNA,0,0,0,0,2,2
AC000072.1,lncRNA,0,0,0,0,0,2
AC000085.1,lncRNA,1,0,2,0,3,2
AC000120.1,lncRNA,2,5,0,5,2,8
AC000124.1,lncRNA,1,1,10,5,11,8
AC000372.1,lncRNA,0,2,0,0,1,0
AC000403.1,lncRNA,0,5,1,0,3,6
AC001226.1,lncRNA,0,1,0,0,0,0
AC002044.1,lncRNA,0,6,3,2,4,3
AC002057.1,lncRNA,0,1,0,0,2,2
AC002057.2,lncRNA,0,0,1,0,3,3
AC002059.1,lncRNA,0,1,2,1,4,6
AC002064.1,lncRNA,0,0,0,0,4,0
AC002066.1,lncRNA,0,0,1,0,3,1
AC002069.2,lncRNA,2,1,2,1,5,10
AC002070.1,lncRNA,1,0,0,0,14,12
AC002072.1,lncRNA,0,0,1,0,1,0
AC002074.1,lncRNA,3,5,0,2,6,5
AC002074.2,lncRNA,0,1,1,0,1,1
AC002091.2,lncRNA,0,0,0,0,8,7
AC002094.1,lncRNA,1,3,6,2,15,16
