gene_id,gene_name,gene_type,chrom,start,end,strand
ENSG00000243485.5,MIR1302-2HG,lncRNA,chr1,29554,31109,+
ENSG00000237613.2,FAM138A,lncRNA,chr1,34554,36081,-
ENSG00000238009.6,AL627309.1,lncRNA,chr1,89295,133723,-
ENSG00000239945.1,AL627309.3,lncRNA,chr1,89551,91105,-
ENSG00000239906.1,AL627309.2,lncRNA,chr1,139790,140339,-
ENSG00000241860.7,AL627309.5,lncRNA,chr1,141474,173862,-
ENSG00000241599.1,AL627309.4,lncRNA,chr1,160446,161525,+
ENSG00000286448.1,AP006222.2,lncRNA,chr1,266855,268655,+
ENSG00000236601.2,AL732372.1,lncRNA,chr1,358857,366052,+
ENSG00000235146.2,AC114498.1,lncRNA,chr1,587629,594768,+
ENSG00000229905.1,AL669831.2,lncRNA,chr1,760911,761989,+
ENSG00000237491.10,LINC01409,lncRNA,chr1,778747,810065,+
ENSG00000177757.2,FAM87B,lncRNA,chr1,817371,819837,+
ENSG00000228794.10,LINC01128,lncRNA,chr1,825138,859446,+
ENSG00000225880.5,LINC00115,lncRNA,chr1,826206,827522,-
ENSG00000288531.1,AL669831.7,lncRNA,chr1,860226,868202,+
ENSG00000230368.2,FAM41C,lncRNA,chr1,868071,876903,-
ENSG00000272438.1,AL645608.6,lncRNA,chr1,904834,915976,+
ENSG00000230699.2,AL645608.2,lncRNA,chr1,911435,914948,+
ENSG00000241180.1,AL645608.4,lncRNA,chr1,914171,914971,+
ENSG00000223764.2,LINC02593,lncRNA,chr1,916865,921016,-
ENSG00000272512.1,AL645608.7,lncRNA,chr1,995966,998051,-
ENSG00000224969.1,AL645608.1,lncRNA,chr1,1011997,1013193,-
ENSG00000242590.1,AL645608.5,lncRNA,chr1,1055033,1056116,+
ENSG00000273443.1,AL645608.8,lncRNA,chr1,1062208,1063288,-
ENSG00000285812.1,AL390719.3,lncRNA,chr1,1097585,1104598,+
ENSG00000223823.1,LINC01342,lncRNA,chr1,1137017,1144056,+
ENSG00000272141.1,AL390719.2,lncRNA,chr1,1169357,1170343,+
ENSG00000205231.1,TTLL10-AS1,lncRNA,chr1,1173056,1179555,-
ENSG00000260179.1,AL162741.1,lncRNA,chr1,1249777,1251334,-
ENSG00000230415.1,LINC01786,lncRNA,chr1,1275223,1280420,+
ENSG00000240731.1,AL139287.1,lncRNA,chr1,1317581,1318689,-
ENSG00000224870.7,MRPL20-AS1,lncRNA,chr1,1399520,1402046,+
ENSG00000272455.1,MRPL20-DT,lncRNA,chr1,1409096,1410618,+
ENSG00000225905.1,AL391244.1,lncRNA,chr1,1420245,1422691,+
ENSG00000225285.1,LINC01770,lncRNA,chr1,1430539,1434573,-
ENSG00000215014.5,AL645728.1,lncRNA,chr1,1574102,1577075,+
ENSG00000286989.1,AL691432.4,lncRNA,chr1,1600314,1602703,+
ENSG00000272106.1,AL691432.2,lncRNA,chr1,1613758,1615795,-
ENSG00000272004.1,FO704657.1,lncRNA,chr1,1659325,1662602,+
ENSG00000268575.1,AL031282.2,lncRNA,chr1,1702736,1737688,-
ENSG00000231050.1,AL109917.1,lncRNA,chr1,1891471,1892658,+
ENSG00000233542.2,AL391845.2,lncRNA,chr1,2013213,2015639,-
ENSG00000226969.1,AL391845.1,lncRNA,chr1,2049203,2050070,-
ENSG00000271806.1,AL590822.2,lncRNA,chr1,2141084,2145279,-
ENSG00000182873.5,PRKCZ-AS1,lncRNA,chr1,2181794,2184389,-
ENSG00000234396.3,AL590822.1,lncRNA,chr1,2212523,2220738,+
ENSG00000287356.1,AL590822.3,lncRNA,chr1,2315040,2323085,+
ENSG00000272161.1,AL589739.1,lncRNA,chr1,2326201,2326693,-
ENSG00000272420.1,AL513477.2,lncRNA,chr1,2363061,2363628,-
ENSG00000224387.1,AL139246.1,lncRNA,chr1,2492300,2493258,-
ENSG00000229393.1,AL139246.4,lncRNA,chr1,2493437,2494479,-
ENSG00000272449.2,AL139246.5,lncRNA,chr1,2530064,2547460,+
ENSG00000238164.6,TNFRSF14-AS1,lncRNA,chr1,2549920,2557031,-
ENSG00000228037.1,AL139246.3,lncRNA,chr1,2581560,2584533,+
ENSG00000237058.1,MMEL1-AS1,lncRNA,chr1,2632568,2636620,+
ENSG00000285945.1,AC242022.2,lncRNA,chr1,2768091,2784733,+
ENSG00000283259.1,AC242022.1,lncRNA,chr1,2773603,2776473,+
ENSG00000233234.1,AL592464.2,lncRNA,chr1,2811850,2812692,-
ENSG00000287396.1,AL592464.3,lncRNA,chr1,2814056,2817767,+
ENSG00000231630.1,AL592464.1,lncRNA,chr1,2814432,2814998,-
ENSG00000284745.1,AL589702.1,lncRNA,chr1,2960658,2968707,-
ENSG00000177133.11,PRDM16-DT,lncRNA,chr1,3059615,3068437,-
ENSG00000226286.1,AL008733.1,lncRNA,chr1,3132927,3133709,-
ENSG00000272235.1,AL590438.1,lncRNA,chr1,3306636,3310096,-
ENSG00000287828.1,AL354743.2,lncRNA,chr1,3313052,3323149,-
ENSG00000286518.1,AL354743.1,lncRNA,chr1,3367815,3373928,-
ENSG00000272088.1,AL512413.1,lncRNA,chr1,3487246,3487627,+
ENSG00000238260.1,AL513320.1,lncRNA,chr1,3623190,3624743,-
ENSG00000227589.1,TP73-AS3,lncRNA,chr1,3658938,3668772,-
ENSG00000235131.1,TP73-AS2,lncRNA,chr1,3712200,3714298,-
ENSG00000272153.1,AL365330.1,lncRNA,chr1,3785008,3785538,+
ENSG00000236423.6,LINC01134,lncRNA,chr1,3900352,3917225,+
ENSG00000233304.7,LINC01346,lncRNA,chr1,3940486,3955262,+
ENSG00000226374.3,LINC01345,lncRNA,chr1,3944547,3949024,-
ENSG00000284668.2,LINC02780,lncRNA,chr1,3976133,4012704,+
ENSG00000284703.1,AL805961.1,lncRNA,chr1,4012921,4019508,-
ENSG00000235054.4,LINC01777,lncRNA,chr1,4412027,4424689,+
ENSG00000284694.1,AL355602.1,lncRNA,chr1,4479131,4484375,-
ENSG00000227169.2,Z98747.1,lncRNA,chr1,4551735,4552145,-
ENSG00000232596.3,LINC01646,lncRNA,chr1,4571481,4594016,+
ENSG00000287586.1,Z98886.1,lncRNA,chr1,4730211,4734992,-
ENSG00000284739.1,BX005132.1,lncRNA,chr1,4963954,4973298,-
ENSG00000284674.1,LINC02781,lncRNA,chr1,4973381,4981568,+
ENSG00000231510.1,LINC02782,lncRNA,chr1,5086459,5090899,-
ENSG00000284616.1,AL139823.1,lncRNA,chr1,5301928,5307394,-
ENSG00000284692.2,Z98259.3,lncRNA,chr1,5478736,5493057,-
ENSG00000284666.1,Z98259.2,lncRNA,chr1,5480787,5482028,-
ENSG00000260972.1,Z98259.1,lncRNA,chr1,5492978,5494674,+
ENSG00000236948.2,AL365255.1,lncRNA,chr1,5561709,5668295,-
ENSG00000226944.1,RNF207-AS1,lncRNA,chr1,6204840,6205780,-
ENSG00000225077.3,LINC00337,lncRNA,chr1,6234692,6239444,+
